suburb,origin_quarter,horizon,actual,naive,seasonal_naive,sarima,prophet
ALBION PARK,2021-07-01,2,3.973509933774833,6.25,6.63716814159292,0.06964841115228501,2.8964838859883777
ALBION PARK,2021-07-01,3,-1.273885350318471,6.25,6.63716814159292,4.148287896212117,3.0623918860709507
ALBION PARK,2021-07-01,4,1.5483870967741842,6.25,6.63716814159292,2.087929976577437,-2.2632926668360867
ALBION PARK,2022-04-01,1,1.5483870967741842,-1.273885350318471,6.25,1.6390677651092724,-2.4712911140063927
ALBION PARK,2022-04-01,2,-2.1601016518424387,-1.273885350318471,6.25,1.2510778121366513,2.011050132920384
ALBION PARK,2022-04-01,3,0.6493506493506551,-1.273885350318471,6.25,1.0666335092489363,2.671637851672585
ALBION PARK,2022-04-01,4,8.387096774193559,-1.273885350318471,6.25,0.21021150863265903,1.3277980483677574
ALBION PARK,2023-01-01,1,8.387096774193559,0.6493506493506551,-1.273885350318471,-0.02471225146540547,1.112435860326729
ALBION PARK,2023-01-01,2,-10.833333333333329,0.6493506493506551,-1.273885350318471,0.31929672448414653,-2.8232351985748223
ALBION PARK,2023-01-01,3,8.144192256341798,0.6493506493506551,-1.273885350318471,-0.1513093215674324,0.21698424884807865
ALBION PARK,2023-01-01,4,1.2345679012345734,0.6493506493506551,-1.273885350318471,0.1920812224931519,1.8911238607855365
ALBION PARK,2023-10-01,1,1.2345679012345734,8.144192256341798,0.6493506493506551,0.18189759685292212,2.408571537285396
ALBION PARK,2023-10-01,2,0.304878048780477,8.144192256341798,0.6493506493506551,0.6457672750002179,3.3495383517608532
ALBION PARK,2023-10-01,3,-0.2431610942249196,8.144192256341798,0.6493506493506551,-0.5330864649438938,-0.31578537553064256
ALBION PARK,2023-10-01,4,6.2766605728214575,8.144192256341798,0.6493506493506551,0.6166897432679993,2.649127571111385
ALBION PARK,2024-07-01,1,6.2766605728214575,-0.2431610942249196,8.144192256341798,0.60707306512619,2.38782258835008
ALBION PARK,2024-07-01,2,-4.816513761467888,-0.2431610942249196,8.144192256341798,0.2287916506307528,2.483414714286957
ALBION PARK,2024-07-01,3,2.4096385542168752,-0.2431610942249196,8.144192256341798,0.1706358940186144,2.4681935677266074
