suburb,region,origin_idx,horizon,actual,naive,seasonal_naive,sarima
GRETA,rest_nsw,36,3,2.4390243902439046,-10.740174524388612,7.692307692307687,-0.4894218271428742
GRETA,rest_nsw,36,4,7.301587301587298,-10.740174524388612,7.692307692307687,-0.28699199900436195
GRETA,rest_nsw,40,1,-0.1479289940828354,7.301587301587298,1.043841336116902,1.5889763911784502
GRETA,rest_nsw,40,2,3.333333333333344,7.301587301587298,1.043841336116902,-0.5309842078268624
GRETA,rest_nsw,40,3,3.942652329749108,7.301587301587298,1.043841336116902,0.26606269594444465
GRETA,rest_nsw,40,4,-11.482758620689658,7.301587301587298,1.043841336116902,0.09805509681397549
GRETA,rest_nsw,44,1,7.908063887806782,-11.482758620689658,-0.1479289940828354,-3.287540314214531
GRETA,rest_nsw,44,2,18.411552346570392,-11.482758620689658,-0.1479289940828354,1.3035640606837609
GRETA,rest_nsw,44,3,5.182926829268286,-11.482758620689658,-0.1479289940828354,-0.4132252393145099
GRETA,rest_nsw,44,4,-6.086956521739129,-11.482758620689658,-0.1479289940828354,-0.0016306010137198566
GREYSTANES,sydney,28,1,2.0231213872832443,2.0648967551622377,2.5246305418719306,-1.889762306469587
GREYSTANES,sydney,28,2,7.762039660056663,2.0648967551622377,2.5246305418719306,-1.8436587294979363
GREYSTANES,sydney,28,3,1.4721345951629772,2.0648967551622377,2.5246305418719306,0.025229789355644693
GREYSTANES,sydney,28,4,10.880829015544036,2.0648967551622377,2.5246305418719306,-1.344401629967203
GREYSTANES,sydney,32,1,4.789719626168232,10.880829015544036,2.0231213872832443,3.741318467502133
GREYSTANES,sydney,32,2,5.462653288740249,10.880829015544036,2.0231213872832443,0.17411505816729683
GREYSTANES,sydney,32,3,-8.668076109936573,10.880829015544036,2.0231213872832443,2.5041275284194158
GREYSTANES,sydney,32,4,-2.546296296296291,10.880829015544036,2.0231213872832443,-2.5564085912128616
GREYSTANES,sydney,36,1,1.7577197149643675,-2.546296296296291,4.789719626168232,-1.3726806010889583
GREYSTANES,sydney,36,2,6.442577030812324,-2.546296296296291,4.789719626168232,-1.6067871998750618
GREYSTANES,sydney,36,3,5.263157894736836,-2.546296296296291,4.789719626168232,2.713608992653573
GREYSTANES,sydney,36,4,-4.166666666666663,-2.546296296296291,4.789719626168232,0.819062848524063
